index	Min	Max
-	0.0	1.0
ASA	0.0	1.0
B	0.0	1.0
CN	2.0	44.0
E	0.0	1.0
G	0.0	1.0
H	0.0	1.0
HMM_1	0.06523	7.48588
HMM_10	0.08564	7.81917
HMM_11	0.11206	9.07348
HMM_12	0.0326	7.93901
HMM_13	0.0092	7.39741
HMM_14	0.07998	8.24554
HMM_15	0.0258	7.76409
HMM_16	0.07991	7.82544
HMM_17	0.05476	7.85829
HMM_18	0.1795	8.11141
HMM_19	0.01069	8.72436
HMM_2	0.01353	8.26455
HMM_20	0.06385	8.60534
HMM_21	0.00104	2.28378
HMM_22	0.1443	7.28101
HMM_23	0.0	7.9984
HMM_24	0.01995	3.56603
HMM_25	0.02868	3.92424
HMM_26	0.0	2.8232
HMM_27	0.0	3.19219
HMM_3	0.02966	7.92603
HMM_4	0.02922	7.75619
HMM_5	0.0809	8.36419
HMM_6	0.00698	7.50619
HMM_7	0.00988	8.34814
HMM_8	0.29762	8.67269
HMM_9	0.01875	7.97899
HSE_down	0.0	40.0
HSE_up	0.0	39.0
I	0.0	1.0
S	0.0	1.0
T	0.0	1.0
b_factor	-2.36	908.52
cos_phi	0.9939931165725188	1.0
cos_psi	0.9939931165725188	1.0
prop1	0.0	3.08
prop2	-2.53	1.47
prop3	0.0	0.89
prop4	2.85	10.76
sin_phi	-0.0548036651487895	0.1094426069063198
sin_psi	-0.0548036651487895	0.1094426069063198
